X,Y,SUBTYPE
-123.1343716,44.1093188,CHRISTIAN
-121.6475514,36.7079608,CHRISTIAN
-121.4786341,38.6277836,CHRISTIAN
-122.1987629,37.80984,CHRISTIAN
-121.4786555,38.6277837,CHRISTIAN
-122.2390498,38.121502,CHRISTIAN
-122.2390506,38.1215021,CHRISTIAN
-123.0811863,44.0419501,CHRISTIAN
-122.0815747,37.6450233,CHRISTIAN
-122.1059477,37.4171916,JUDAIC
-122.4772342,37.7210898,MUSLIM
-122.2778742,37.8014032,CHRISTIAN
-122.4073729,37.7303461,CHRISTIAN
-121.9819249,38.022984,CHRISTIAN
-122.4754248,37.7336867,CHRISTIAN
-121.8650527,37.6753743,MUSLIM
-122.1621298,37.7566824,CHRISTIAN
-122.1988222,37.80984,CHRISTIAN
-122.0815738,37.645106,CHRISTIAN
-121.9034358,37.4678855,CHRISTIAN
-122.0340859,37.3300163,BUDDHIST
-122.2394118,37.9976773,BUDDHIST
-122.9052849,42.3603576,CHRISTIAN
-122.8753016,42.3207254,CHRISTIAN
-121.9844501,37.550884,MUSLIM
-123.2996828,43.2127858,CHRISTIAN
-122.0274117,37.9368081,CHRISTIAN
-122.4143155,37.7479584,CHRISTIAN
-122.1088584,37.7016509,CHRISTIAN
-122.035036,37.5724803,CHRISTIAN
-122.0981612,37.4195132,CHRISTIAN
-121.9614251,37.5232832,CHRISTIAN
-123.0999483,44.07208,CHRISTIAN
-121.883288,37.413925,CHRISTIAN
-121.8474099,37.3520341,CHRISTIAN
-121.6602698,36.6641508,CHRISTIAN
-122.260632,37.8663264,CHRISTIAN
-124.1024138,43.9852049,CHRISTIAN
-122.6325799,38.2646395,CHRISTIAN
-122.0170489,37.5513919,CHRISTIAN
-123.1343623,44.1092979,CHRISTIAN
-121.6553423,36.6596351,CHRISTIAN
-123.0116631,44.0614885,CHRISTIAN
-123.27371,42.1819525,BUDDHIST
-121.9070897,37.2461277,CHRISTIAN
-122.2779419,37.8660424,JUDAIC
-122.6495556,38.2312479,JUDAIC
-122.5713795,38.0286479,JUDAIC
-122.1201993,37.4351534,JUDAIC
-122.328757,37.5710954,MUSLIM
-121.9594797,37.3771403,MUSLIM
-122.1368727,37.8892187,JUDAIC
-122.1329815,37.39713,JUDAIC
-122.4847043,37.775336,JUDAIC
-122.1459132,37.7249615,JUDAIC
-122.6658091,38.4434554,JUDAIC
-122.1045607,37.4256531,JUDAIC
-122.0529173,38.2515628,JUDAIC
-121.7589059,38.55876,JUDAIC
-121.874558,36.5391554,JUDAIC
-122.07933,37.9001817,JUDAIC
-122.0690705,37.8760085,JUDAIC
-122.1479614,37.3924883,JUDAIC
-122.4740938,40.5335445,JUDAIC
-122.0430194,36.9685483,JUDAIC
-122.5236406,37.9993782,JUDAIC
-122.4319303,37.7893631,JUDAIC
-122.073125,37.7100984,JUDAIC
-122.4618755,38.2950538,JUDAIC
-123.2905116,44.5739989,JUDAIC
-122.3234039,37.5461411,JUDAIC
-122.3941738,37.5804168,JUDAIC
-122.0331765,37.3559399,JUDAIC
-123.0727238,44.0391085,JUDAIC
-122.1527151,37.4204632,JUDAIC
-122.4268137,37.7648562,JUDAIC
-121.5871642,39.1361516,JUDAIC
-123.0964036,44.0464605,BUDDHIST
-121.7946031,37.9970812,JUDAIC
-122.0627391,37.8912428,JUDAIC
-122.5225344,37.9998687,JUDAIC
-121.961629,37.252726,JUDAIC
-122.2665663,37.5583123,JUDAIC
-122.2686504,37.8816622,JUDAIC
-122.7064167,38.3277388,JUDAIC
-121.9590534,37.2448699,JUDAIC
-122.4222196,37.7441466,JUDAIC
-122.4143784,37.7881922,JUDAIC
-122.4746661,37.7333057,JUDAIC
-122.4597348,37.7871909,JUDAIC
-121.9297114,36.9911156,JUDAIC
-122.3140734,37.9771523,JUDAIC
-122.1120149,37.411115,JUDAIC
-124.1477287,40.7791755,JUDAIC
-122.287418,38.3208193,JUDAIC
-122.0447948,37.8985428,JUDAIC
-121.5085475,38.5468664,JUDAIC
-122.23396,37.808076,JUDAIC
-122.5019936,37.9042638,JUDAIC
-121.9579896,37.2331655,JUDAIC
-122.6922647,38.433426,JUDAIC
-121.8283583,39.748233,JUDAIC
-122.0180343,37.2924714,JUDAIC
-123.0816192,44.0166839,OTHER
-122.2440647,37.8201468,JUDAIC
-122.0576715,37.3497465,JUDAIC
-122.4837479,37.7536796,JUDAIC
-121.890661,37.2424673,JUDAIC
-122.126639,37.4140286,JUDAIC
-122.6663409,38.4267541,JUDAIC
-122.528182,37.8783153,JUDAIC
-122.0405018,37.2960031,MUSLIM
-122.2603483,37.859095,HINDU
-122.2410156,37.7362846,JUDAIC
-122.4473264,37.7874889,JUDAIC
-122.2722437,37.5408945,JUDAIC
-122.1350564,37.448531,JUDAIC
-123.8141313,39.3654203,JUDAIC
-123.0790973,44.0437869,JUDAIC
-122.4688912,37.7801683,JUDAIC
-122.2410931,37.4571057,JUDAIC
-122.4755784,37.7826195,JUDAIC
-122.6995963,42.1970309,JUDAIC
-122.2516268,37.813712,JUDAIC
-121.8960523,36.6003744,JUDAIC
-121.9121134,37.2974053,JUDAIC
-122.2532672,37.8629455,JUDAIC
-122.4735689,37.7822442,JUDAIC
-122.5041948,37.7414997,JUDAIC
-121.8548349,39.7383661,JUDAIC
-121.9229103,36.6079524,JUDAIC
-121.7512655,38.5465822,JUDAIC
-122.3014243,37.5577505,JUDAIC
-122.6935454,42.187179,JUDAIC
-122.4870939,37.773136,JUDAIC
-122.2899876,38.2894843,JUDAIC
-122.4834069,37.7542332,JUDAIC
-122.4625798,37.7820981,JUDAIC
-122.6817957,42.1936349,JUDAIC
-122.0330106,36.9761514,JUDAIC
-121.9143089,37.2965049,JUDAIC
-121.9132297,37.2970847,JUDAIC
-122.230073,37.8042475,JUDAIC
-122.2644839,37.8166417,JUDAIC
-121.9203433,37.3404959,JUDAIC
-122.0717486,37.3834064,JUDAIC
-122.2858167,37.8695317,JUDAIC
-122.4739087,37.712967,JUDAIC
-122.2668943,37.8839307,JUDAIC
-122.6093026,37.97261,MUSLIM
-122.2091264,37.7720818,MUSLIM
-122.144573,37.4261777,MUSLIM
-122.4114907,37.7828233,MUSLIM
-121.6017252,37.1098079,MUSLIM
-121.6634744,39.1812953,MUSLIM
-122.2854572,37.8029489,MUSLIM
-123.2754552,44.5739035,MUSLIM
-122.4165082,37.7346742,MUSLIM
-121.6702327,39.1849638,MUSLIM
-121.8851487,37.4344855,MUSLIM
-121.875081,37.3065139,MUSLIM
-122.044,37.9532371,MUSLIM
-122.4117871,37.7814357,MUSLIM
-121.9931912,37.9781332,MUSLIM
-122.1705121,37.4252366,MUSLIM
-121.8124629,38.0048363,MUSLIM
-122.0547273,37.5802032,MUSLIM
-123.1208612,44.0496309,MUSLIM
-122.0782107,37.3916349,MUSLIM
-121.8800869,36.5937524,MUSLIM
-122.2771545,37.8463052,MUSLIM
-122.1527604,37.7371935,CHRISTIAN
-122.5639198,37.86596,BUDDHIST
-122.0519183,37.6971416,CHRISTIAN
-122.555815,38.0097756,CHRISTIAN
-122.5425214,37.9749497,BUDDHIST
-122.5320906,37.9758842,BUDDHIST
